petal length (cm),petal width (cm),petal length,petal width
4.9,1.5,0.6610169491525424,0.5833333333333334
4.7,1.2,0.6271186440677966,0.4583333333333333
4.3,1.3,0.559322033898305,0.5000000000000001
4.4,1.4,0.576271186440678,0.5416666666666667
4.8,1.4,0.6440677966101694,0.5416666666666667
5.0,1.7,0.6779661016949152,0.6666666666666667
4.5,1.5,0.5932203389830508,0.5833333333333334
3.5,1.0,0.423728813559322,0.375
3.8,1.1,0.47457627118644063,0.4166666666666667
3.7,1.0,0.4576271186440678,0.375
3.9,1.2,0.49152542372881347,0.4583333333333333
5.1,1.6,0.6949152542372881,0.6250000000000001
4.5,1.5,0.5932203389830508,0.5833333333333334
4.5,1.6,0.5932203389830508,0.6250000000000001
4.7,1.5,0.6271186440677966,0.5833333333333334
4.4,1.3,0.576271186440678,0.5000000000000001
4.1,1.3,0.5254237288135593,0.5000000000000001
4.0,1.3,0.5084745762711864,0.5000000000000001
4.4,1.2,0.576271186440678,0.4583333333333333
4.6,1.4,0.6101694915254237,0.5416666666666667
4.0,1.2,0.5084745762711864,0.4583333333333333
3.3,1.0,0.38983050847457623,0.375
4.2,1.3,0.5423728813559322,0.5000000000000001
4.2,1.2,0.5423728813559322,0.4583333333333333
4.2,1.3,0.5423728813559322,0.5000000000000001
4.3,1.3,0.559322033898305,0.5000000000000001
3.0,1.1,0.3389830508474576,0.4166666666666667
4.1,1.3,0.5254237288135593,0.5000000000000001
6.0,2.5,0.847457627118644,1.0
5.1,1.9,0.6949152542372881,0.75
5.9,2.1,0.8305084745762712,0.8333333333333335
5.6,1.8,0.7796610169491525,0.7083333333333334
5.8,2.2,0.8135593220338982,0.8750000000000001
6.6,2.1,0.9491525423728813,0.8333333333333335
4.5,1.7,0.5932203389830508,0.6666666666666667
6.3,1.8,0.8983050847457625,0.7083333333333334
5.8,1.8,0.8135593220338982,0.7083333333333334
6.1,2.5,0.8644067796610169,1.0
5.1,2.0,0.6949152542372881,0.7916666666666667
5.3,1.9,0.7288135593220338,0.75
5.5,2.1,0.7627118644067796,0.8333333333333335
5.0,2.0,0.6779661016949152,0.7916666666666667
5.1,2.4,0.6949152542372881,0.9583333333333334
5.3,2.3,0.7288135593220338,0.9166666666666666
5.5,1.8,0.7627118644067796,0.7083333333333334
6.7,2.2,0.9661016949152543,0.8750000000000001
6.9,2.3,1.0,0.9166666666666666
5.0,1.5,0.6779661016949152,0.5833333333333334
5.7,2.3,0.7966101694915254,0.9166666666666666
4.9,2.0,0.6610169491525424,0.7916666666666667
6.7,2.0,0.9661016949152543,0.7916666666666667
4.9,1.8,0.6610169491525424,0.7083333333333334
5.7,2.1,0.7966101694915254,0.8333333333333335
6.0,1.8,0.847457627118644,0.7083333333333334
4.8,1.8,0.6440677966101694,0.7083333333333334
4.9,1.8,0.6610169491525424,0.7083333333333334
5.6,2.1,0.7796610169491525,0.8333333333333335
5.8,1.6,0.8135593220338982,0.6250000000000001
6.1,1.9,0.8644067796610169,0.75
6.4,2.0,0.9152542372881356,0.7916666666666667
5.6,2.2,0.7796610169491525,0.8750000000000001
5.1,1.5,0.6949152542372881,0.5833333333333334
5.6,1.4,0.7796610169491525,0.5416666666666667
6.1,2.3,0.8644067796610169,0.9166666666666666
5.6,2.4,0.7796610169491525,0.9583333333333334
5.5,1.8,0.7627118644067796,0.7083333333333334
4.8,1.8,0.6440677966101694,0.7083333333333334
5.4,2.1,0.7457627118644068,0.8333333333333335
5.6,2.4,0.7796610169491525,0.9583333333333334
5.1,2.3,0.6949152542372881,0.9166666666666666
5.1,1.9,0.6949152542372881,0.75
5.9,2.3,0.8305084745762712,0.9166666666666666
5.7,2.5,0.7966101694915254,1.0
5.2,2.3,0.711864406779661,0.9166666666666666
5.0,1.9,0.6779661016949152,0.75
5.2,2.0,0.711864406779661,0.7916666666666667
5.4,2.3,0.7457627118644068,0.9166666666666666
5.1,1.8,0.6949152542372881,0.7083333333333334
